Vendor ID,Order Number,Line Number,Order Quantity,Unit Cost,Part Description,Part Number,Vendor Part No,ID Zone ID,Centre Name,Route Drop Code
3154,TSQ/54552     ,2,10,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,E55 ,KINGSTON FIRE STATION         ,DC 5                      GSD 
3154,TSQ/54553     ,1,1,4.7,"CLOTH, DISH, DISPOSABLE, BLUE,J CLOTH, 61X36CM              ",V2206                                                       ,512771,E58 ,SUTTON FIRE STATION           ,DC 2                      GSF 
3154,TSQ/54553     ,2,10,3.28,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,E58 ,SUTTON FIRE STATION           ,DC 2                      GSF 
3154,TSQ/54554     ,1,4,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,E59 ,WALLINGTON FIRE STATION       ,DC 15                     GSF 
3154,TSQ/54555     ,1,4,0.6,"MOP HEAD, COTTON, ""DO ALL"" TYPE                             ",V1652                                                       ,536130,E62 ,WOODSIDE FIRE STATION         ,DC 4                      GSF 
3154,TSQ/54556     ,1,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,F24 ,SHOREDITCH FIRE STATION       ,DC 7                      GSB 
3154,TSQ/54557     ,1,4,1.02,"SPONGE, LARGE, 220X115X65MM                                 ",V2027                                                       ,580633,F24C,CAMPING OUT ACCOM - SHOREDITCH,DC 7                      GSB 
3154,TSQ/54557     ,2,4,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,F24C,CAMPING OUT ACCOM - SHOREDITCH,DC 7                      GSB 
3154,TSQ/54557     ,3,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,F24C,CAMPING OUT ACCOM - SHOREDITCH,DC 7                      GSB 
3154,TSQ/54557     ,4,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,F24C,CAMPING OUT ACCOM - SHOREDITCH,DC 7                      GSB 
3154,TSQ/54558     ,1,4,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,F34 ,CHINGFORD FIRE STATION        ,DC  15                    GSC 
3154,TSQ/54559     ,1,2,10.5,"GLOVE, OVEN MITT, 33CM,       PAIR, (TO REACH ELBOW)        ",V2119A                                                      ,Z05135116                     ,F39 ,HORNCHURCH FIRE STATION       ,DC  13                    GSC 
3154,TSQ/54560     ,1,1,2.02,"BROOM HEAD, STIFF, CANE/BASSINE MIX, 325X28.5MM             ",V1646                                                       ,502010,F42 ,ILFORD FIRE STATION           ,DC  2                     GSC 
3154,TSQ/54560     ,2,1,1.29,"BROOM HANDLE/WADING POLE, WOOD, 28.5MM, FOR BASS BROOM V1646",V2039                                                       ,502120,F42 ,ILFORD FIRE STATION           ,DC  2                     GSC 
3154,TSQ/54561     ,1,1,41.62,"BUCKET, RED PLASTIC, 20 LITRE,WHEELED, SYR                  ",V2963                                                       ,SYR  TC20                     ,F43 ,BARKING FIRE STATION          ,DC  16                    GSC 
3154,TSQ/54562     ,1,10,6.6,"WIPES, HAND, ULTRAGRIME PRO,  RESEALABLE PACK OF 100 WIPES  ",V1949                                                       ,885809,F44 ,EAST HAM FIRE STATION         ,DC  2                     GSC 
3154,TSQ/54563     ,1,4,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,F45 ,PLAISTW FIRE STATION          ,DC  5                     GSC 
3154,TSQ/54564     ,1,10,1.85,"POLISH, BOOT, BLACK, KIWI, 100ML TIN                        ",V1980A                                                      ,508607,F55 ,ENFIELD FIRE STATION          ,DC 21                     GSA 
3154,TSQ/54565     ,1,2,4.19,"SCREEN WASH, FOR WINDSCREEN WASHERS, 5 LITRE CONCENTRATE    ",V2782B                                                      ,508256,G21 ,HARROW FIRE STATION           ,DC 4                      GSA 
3154,TSQ/54566     ,1,2,10.5,"GLOVE, OVEN MITT, 33CM,       PAIR, (TO REACH ELBOW)        ",V2119A                                                      ,Z05135116                     ,G23 ,HILLINGDON FIRE STATION       ,DC 1                      GSA 
3154,TSQ/54566     ,2,2,10.5,"GLOVE, OVEN MITT, 33CM,       PAIR, (TO REACH ELBOW)        ",V2119A                                                      ,Z05135116                     ,G23 ,HILLINGDON FIRE STATION       ,DC 1                      GSA 
3154,TSQ/54567     ,1,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,G28 ,WILLESDEN FIRE STATION        ,DC 20                     GSA 
3154,TSQ/54567     ,2,2,4.7,"CLOTH, DISH, DISPOSABLE, BLUE,J CLOTH, 61X36CM              ",V2206                                                       ,512771,G28 ,WILLESDEN FIRE STATION        ,DC 20                     GSA 
3154,TSQ/54568     ,1,1,11.63,"SOAP, BAR, BUTTERMILK, LIGHTLY FRAGRANCED, 70G, PACK 72     ",V1644                                                       ,548208,G29 ,PARK ROYAL FIRE STATION       ,DC 18                     GSA 
3154,TSQ/54569     ,1,4,1.86,"HACKSAW BLADE, 30CM, 24TPI                                  ",V4171                                                       ,747607,G33 ,KENSINGTON FIRE STATION       ,DC 7                      GSD 
3154,TSQ/54570     ,1,10,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,G35 ,FULHAM FIRE STATION           ,DC 12                     GSD 
3154,TSQ/54570     ,2,4,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,G35 ,FULHAM FIRE STATION           ,DC 12                     GSD 
3154,TSQ/54571     ,1,5,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,G41 ,TWICKENHAM FIRE STATION       ,DC 17                     GSD 
3154,TSQ/54572     ,1,6,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,G51 ,W HAMPSTEAD FIRE STATION      ,DC 10                     GSA 
3154,TSQ/54572     ,2,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,G51 ,W HAMPSTEAD FIRE STATION      ,DC 10                     GSA 
3154,TSQ/54573     ,1,6,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,G54 ,BARNET FIRE STATION           ,DC 7                      GSA 
3154,TSQ/54573     ,2,6,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,G54 ,BARNET FIRE STATION           ,DC 7                      GSA 
3154,TSQ/54574     ,1,1,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,G56 ,HEATHROW FIRE STATION         ,DC 19                     GSD 
3154,TSQ/54574     ,2,2,6.79,"TOILET PAPER ROLLS, SOFT WHITE2PLY, 320 SHEET ROLL          ",V2166                                                       ,539289,G56 ,HEATHROW FIRE STATION         ,DC 19                     GSD 
3154,TSQ/54575     ,1,12,3.32,CLEANER MULTISURFACE MR MUSCLE 750ML SPRAY BOTTLE           ,V2384                                                       ,508113,M12F,LONDON OPERATIONS CTR (MERTON),DC 14                     GSD 
3154,TSQ/54770     ,1,2,33.89,"WIPES, KIMWIPES, 7302 STEEL   BLUE BARREL ROLL, 360 WIPES   ",V2314B                                                      ,582101,E51 ,WEST NORWOOD FIRE STATION     ,DC 5                      GSE 
